timestamp,latitude,longtitude,height
1453291380,52.2135,0.0964,0
1453291430,52.2134,0.0973769,250
1453291480,52.2134,0.0979531,500
1453291530,52.2131,0.0978773,750
1453291580,52.2123,0.0973005,1000
1453291630,52.211,0.096708,1250
1453291680,52.2094,0.0969163,1500
1453291730,52.2078,0.09832,1750
1453291780,52.2062,0.100843,2000
1453291830,52.2046,0.104216,2250
1453291880,52.2031,0.108028,2500
1453291930,52.2017,0.11188,2750
1453291980,52.2002,0.115497,3000
1453292030,52.1985,0.118743,3250
1453292080,52.1965,0.121731,3500
1453292130,52.1945,0.124675,3750
1453292180,52.1923,0.127694,4000
1453292230,52.1899,0.130858,4250
1453292280,52.1874,0.134213,4500
1453292330,52.1846,0.137775,4750
1453292380,52.1815,0.141544,5000
1453292430,52.1781,0.145503,5250
1453292480,52.1745,0.149632,5500
1453292530,52.1706,0.153888,5750
1453292580,52.1667,0.158228,6000
1453292630,52.1627,0.162617,6250
1453292680,52.1586,0.167059,6500
1453292730,52.1546,0.17157,6750
1453292780,52.1505,0.176256,7000
1453292830,52.1464,0.181172,7250
1453292880,52.1422,0.186403,7500
1453292930,52.1379,0.191958,7750
1453292980,52.1335,0.197841,8000
1453293030,52.1289,0.204069,8250
1453293080,52.1242,0.210658,8500
1453293130,52.1194,0.217632,8750
1453293180,52.1146,0.225012,9000
1453293230,52.1097,0.23269,9250
1453293280,52.1048,0.240537,9500
1453293330,52.0997,0.248596,9750
1453293380,52.0944,0.256981,10000
1453293430,52.0889,0.265704,10250
1453293480,52.0833,0.274887,10500
1453293530,52.0775,0.284572,10750
1453293580,52.0717,0.294759,11000
1453293630,52.0657,0.305447,11250
1453293680,52.0596,0.316635,11500
1453293730,52.0531,0.328314,11750
1453293780,52.0462,0.340467,12000
1453293830,52.0387,0.35309,12250
1453293880,52.0307,0.366179,12500
1453293930,52.0222,0.379727,12750
1453293980,52.0132,0.393735,13000
1453294030,52.0038,0.408204,13250
1453294080,51.994,0.423117,13500
1453294130,51.9841,0.438437,13750
1453294180,51.974,0.454162,14000
1453294230,51.9638,0.470292,14250
1453294280,51.9535,0.486831,14500
1453294330,51.9432,0.503845,14750
1453294380,51.9328,0.521355,15000
1453294430,51.9225,0.53936,15250
1453294480,51.9123,0.557862,15500
1453294530,51.902,0.576861,15750
1453294580,51.8917,0.596378,16000
1453294630,51.8815,0.616452,16250
1453294680,51.8714,0.637085,16500
1453294730,51.8613,0.658274,16750
1453294780,51.8512,0.680019,17000
1453294830,51.8412,0.702319,17250
1453294880,51.8312,0.725173,17500
1453294930,51.8212,0.748579,17750
1453294980,51.8114,0.772537,18000
1453295030,51.8016,0.797115,18250
1453295080,51.792,0.822379,18500
1453295130,51.7826,0.848328,18750
1453295180,51.7734,0.874962,19000
1453295230,51.7644,0.902281,19250
1453295280,51.7555,0.930283,19500
1453295330,51.7469,0.958968,19750
1453295380,51.7384,0.988335,20000
1453295430,51.7297,1.01676,19105.8
1453295480,51.7203,1.04278,18270.2
1453295530,51.7104,1.06665,17486.2
1453295580,51.7004,1.08879,16747.6
1453295630,51.6902,1.10934,16049.6
1453295680,51.6798,1.1284,15387.8
1453295730,51.6695,1.14614,14758.7
1453295780,51.6592,1.16267,14159.3
1453295830,51.6491,1.17815,13586.8
1453295880,51.6393,1.19265,13039
1453295930,51.6302,1.20611,12513.7
1453295980,51.6219,1.21861,12009.3
1453296030,51.6144,1.23027,11524.1
1453296080,51.6074,1.24113,11056.7
1453296130,51.6008,1.25119,10604.5
1453296180,51.5945,1.26058,10164.9
1453296230,51.5886,1.26947,9736.91
1453296280,51.5831,1.27801,9319.92
1453296330,51.5779,1.28621,8913.23
1453296380,51.5728,1.29384,8516.23
1453296430,51.5678,1.3009,8128.36
1453296480,51.5631,1.30746,7749.12
1453296530,51.5585,1.31359,7378.06
1453296580,51.5541,1.31929,7014.76
1453296630,51.5497,1.32463,6658.81
1453296680,51.5453,1.3297,6309.88
1453296730,51.541,1.3346,5967.61
1453296780,51.5368,1.33933,5631.72
1453296830,51.5328,1.34388,5301.91
1453296880,51.5291,1.34824,4977.92
1453296930,51.5258,1.35243,4659.5
1453296980,51.5228,1.35648,4346.42
1453297030,51.52,1.36035,4038.46
1453297080,51.5174,1.36403,3735.42
1453297130,51.5148,1.36754,3437.12
1453297180,51.5124,1.3711,3143.37
1453297230,51.5101,1.37496,2854.01
1453297280,51.5079,1.37911,2568.87
1453297330,51.5057,1.38331,2287.82
1453297380,51.5035,1.38729,2010.7
1453297430,51.5014,1.39072,1737.38
1453297480,51.4997,1.39326,1467.74
1453297530,51.4984,1.39448,1201.66
1453297580,51.4979,1.39483,939.018
1453297630,51.4976,1.39512,679.714
1453297680,51.497,1.3956,423.643
1453297730,51.496,1.39633,170.708
1453297765,51.4953,1.3969,-4.53204
